id_aluno,idade_aluno,fase,turma,ponto_de_virada,pedra,ian,ida,ieg,iaa,ips,ipp,ipv,inde,ano
pm-41,11,1,D,0,Ametista,5.0,7.25,8.3,8.0,7.5,7.5,7.75,7.46,2020-01-01
pm-43,13,4,F,0,Ametista,10.0,7.0,7.5,7.5,7.5,7.97,8.04,7.81,2020-01-01
pm-44,9,1,M,0,Ágata,10.0,0.0,6.8,9.0,7.5,6.25,7.92,6.22,2020-01-01
pm-45,11,1,G,0,Ágata,5.0,10.0,1.0,8.5,7.5,7.81,7.75,6.63,2020-01-01
pm-46,8,0,C,0,Ágata,10.0,0.0,10.0,9.5,7.5,7.5,7.58,6.97,2020-01-01
pm-51,8,0,D,0,Topázio,10.0,10.0,9.8,9.5,7.5,8.12,7.42,8.96,2020-01-01
pm-52,10,2,F,0,Ametista,10.0,7.0,8.6,10.0,6.25,7.92,8.22,8.18,2020-01-01
pm-55,17,6,C,1,Ágata,5.0,6.33,9.0,0.0,7.5,8.28,8.67,6.88,2020-01-01
pm-57,16,6,B,0,Ametista,10.0,5.83,7.1,8.33,6.25,7.5,7.58,7.31,2020-01-01
pm-59,13,3,E,0,Ágata,10.0,6.0,3.6,8.75,7.5,7.29,6.44,6.56,2020-01-01
pm-60,17,5,F,0,Ametista,5.0,6.67,9.7,7.5,6.88,8.44,8.12,7.68,2020-01-01
pm-61,10,1,N,0,Quartzo,5.0,0.0,6.5,9.0,7.5,6.88,7.33,5.6,2020-01-01
pm-62,12,2,L,0,Ágata,5.0,3.5,6.9,7.92,7.5,7.08,7.5,6.33,2020-01-01
pm-68,10,1,F,0,Quartzo,5.0,0.0,7.6,9.0,7.5,7.19,8.0,5.99,2020-01-01
pm-71,10,0,A,0,Ametista,5.0,9.5,10.0,8.5,5.0,2.5,7.75,7.55,2020-01-01
pm-75,11,3,L,1,Topázio,10.0,9.0,10.0,10.0,10.0,9.38,9.75,9.69,2020-01-01
pm-76,7,0,B,0,Topázio,10.0,10.0,10.0,8.92,10.0,7.5,6.58,8.96,2020-01-01
pm-78,10,1,A,0,Ametista,5.0,5.5,9.0,9.5,7.5,7.19,7.67,7.35,2020-01-01
pm-80,10,2,N,0,Ágata,10.0,0.0,9.2,6.92,7.5,7.29,7.44,6.5,2020-01-01
pm-81,15,4,L,1,Ametista,5.0,6.0,8.8,5.42,7.5,8.12,9.11,7.39,2020-01-01
pm-82,9,0,D,0,Ametista,5.0,8.5,10.0,8.5,7.5,6.88,7.33,7.95,2020-01-01
pm-83,14,4,B,1,Ametista,10.0,5.33,9.4,9.17,5.62,8.96,9.17,8.16,2020-01-01
pm-84,8,0,B,0,Topázio,10.0,8.5,10.0,9.0,10.0,7.5,7.0,8.75,2020-01-01
pm-85,9,0,D,0,Ágata,5.0,10.0,9.9,9.5,2.5,2.5,6.67,7.26,2020-01-01
pm-86,17,6,A,0,Quartzo,5.0,3.67,4.9,8.33,7.5,7.5,5.71,5.69,2020-01-01
pm-87,14,4,L,1,Ametista,10.0,6.67,9.2,8.33,5.62,8.75,8.72,8.19,2020-01-01
pm-88,11,2,D,1,Topázio,10.0,9.5,9.4,10.0,7.5,5.94,9.58,9.04,2020-01-01
pm-89,9,0,G,0,Ametista,5.0,7.5,10.0,10.0,7.5,6.88,7.5,7.94,2020-01-01
pm-90,14,3,M,0,Ágata,5.0,7.67,5.8,8.33,7.5,7.97,7.5,7.07,2020-01-01
pm-91,10,2,H,0,Ágata,10.0,4.5,6.4,9.0,6.88,5.62,7.58,6.85,2020-01-01
pm-94,12,3,B,0,Ágata,10.0,4.0,6.0,7.08,7.5,7.97,7.5,6.76,2020-01-01
pm-95,15,3,A,0,Ametista,5.0,6.67,8.2,9.58,7.5,7.97,6.79,7.34,2020-01-01
pm-96,18,7,A,1,Ágata,5.0,3.0,6.1,9.17,6.88,7.5,8.79,6.43,2020-01-01
pm-97,12,2,D,0,Ametista,5.0,6.0,8.0,9.5,7.5,8.44,7.75,7.39,2020-01-01
pm-100,12,1,M,0,Ágata,5.0,7.5,6.5,9.0,4.38,6.88,7.92,6.91,2020-01-01
pm-102,9,1,J,0,Ametista,10.0,7.0,8.5,8.0,7.5,7.5,7.83,7.97,2020-01-01
pm-103,8,0,F,0,Topázio,10.0,8.5,10.0,9.0,7.5,7.81,7.33,8.6,2020-01-01
pm-105,13,3,B,0,Topázio,10.0,8.0,9.6,9.17,7.5,7.97,7.67,8.52,2020-01-01
pm-106,10,0,H,0,Ametista,5.0,10.0,10.0,9.5,7.5,7.5,7.5,8.45,2020-01-01
pm-111,14,3,L,0,Ágata,5.0,4.5,7.7,7.92,7.5,7.97,7.88,6.85,2020-01-01
pm-112,14,3,H,0,Ágata,5.0,5.33,6.8,7.92,4.38,7.71,7.61,6.45,2020-01-01
pm-113,11,1,M,0,Ametista,5.0,7.5,8.8,8.5,7.5,7.5,7.92,7.69,2020-01-01
pm-115,15,4,A,0,Quartzo,5.0,5.17,1.9,9.17,6.88,7.92,5.11,5.33,2020-01-01
pm-117,10,1,M,0,Ametista,5.0,9.5,8.9,8.0,7.5,7.19,7.92,8.03,2020-01-01
pm-118,8,1,D,0,Ametista,10.0,10.0,7.7,8.5,7.5,7.19,7.42,8.34,2020-01-01
pm-120,9,0,A,0,Ametista,5.0,9.5,10.0,9.0,8.12,2.5,7.67,7.9,2020-01-01
pm-125,10,1,C,0,Ágata,5.0,5.0,9.0,9.0,7.5,7.71,7.33,7.19,2020-01-01
pm-128,9,0,G,0,Quartzo,5.0,5.5,10.0,7.42,5.62,2.5,3.5,5.85,2020-01-01
pm-132,14,4,F,0,Ametista,10.0,6.0,6.5,8.75,7.5,8.28,6.96,7.34,2020-01-01
pm-133,10,0,D,0,Ametista,5.0,10.0,9.8,10.0,7.5,7.19,7.5,8.43,2020-01-01
pm-135,9,1,A,0,Ametista,10.0,6.5,8.4,9.0,7.5,7.19,7.25,7.8,2020-01-01
pm-136,16,5,A,0,Quartzo,5.0,2.0,4.0,7.5,4.38,6.67,5.44,4.64,2020-01-01
pm-139,17,5,L,0,Ágata,5.0,4.33,5.8,9.17,7.5,8.12,5.5,6.11,2020-01-01
pm-145,17,7,B,1,Ametista,10.0,7.33,9.1,7.92,7.5,7.5,8.83,8.35,2020-01-01
pm-146,9,1,C,0,Ágata,10.0,0.0,7.2,10.0,7.5,7.29,7.33,6.39,2020-01-01
pm-147,13,2,C,0,Quartzo,5.0,0.0,8.0,9.0,7.5,7.29,7.28,5.93,2020-01-01
pm-149,16,6,B,0,Ágata,10.0,3.0,8.7,7.5,5.62,8.12,8.33,7.13,2020-01-01
pm-151,11,1,R,0,Ametista,5.0,7.5,9.5,9.5,7.5,9.17,8.61,8.24,2020-01-01
pm-152,11,3,B,0,Ametista,10.0,6.33,9.0,6.25,7.5,7.97,8.63,7.96,2020-01-01
pm-153,13,4,F,1,Ametista,10.0,4.67,9.0,10.0,7.5,8.59,9.13,8.17,2020-01-01
pm-154,10,1,M,0,Quartzo,5.0,0.0,7.1,8.5,7.5,7.81,7.92,5.88,2020-01-01
pm-156,12,2,J,0,Ágata,5.0,5.0,8.9,7.92,7.5,6.67,8.11,7.11,2020-01-01
pm-157,10,1,H,0,Ágata,5.0,6.75,6.4,9.5,7.5,7.92,7.78,7.18,2020-01-01
pm-158,14,3,E,0,Quartzo,5.0,5.0,5.9,9.17,3.75,7.71,6.61,6.06,2020-01-01
pm-160,10,1,H,0,Quartzo,5.0,0.0,2.3,8.0,5.0,7.29,7.44,4.48,2020-01-01
pm-162,10,1,B,0,Ametista,5.0,8.5,8.8,8.5,7.5,8.44,7.75,7.95,2020-01-01
pm-163,12,1,G,0,Ágata,5.0,6.25,8.2,7.5,5.0,2.5,7.75,6.44,2020-01-01
pm-164,10,1,D,0,Ametista,5.0,7.5,8.7,9.5,7.5,7.19,7.75,7.71,2020-01-01
pm-165,11,0,G,0,Ametista,5.0,10.0,10.0,9.0,7.5,7.81,7.5,8.43,2020-01-01
pm-168,11,1,J,0,Ametista,5.0,8.5,8.8,10.0,7.5,7.5,8.11,8.08,2020-01-01
pm-169,8,0,E,0,Ametista,10.0,10.0,10.0,9.0,5.0,2.5,5.75,7.8,2020-01-01
pm-173,16,5,G,0,Quartzo,5.0,2.83,0.9,7.92,3.12,5.62,4.13,3.74,2020-01-01
pm-183,11,0,E,0,Ametista,5.0,10.0,10.0,9.0,8.12,2.5,7.0,7.86,2020-01-01
pm-184,9,1,H,0,Ametista,10.0,7.5,8.3,10.0,7.5,7.92,7.78,8.26,2020-01-01
pm-186,16,3,J,0,Ágata,2.5,5.67,5.8,8.75,7.5,8.12,6.67,6.31,2020-01-01
pm-187,10,2,G,0,Ágata,10.0,0.0,8.0,8.5,7.5,7.92,7.11,6.41,2020-01-01
pm-188,13,3,C,1,Ametista,10.0,9.0,4.7,7.08,7.5,8.12,8.67,7.74,2020-01-01
pm-189,10,1,C,0,Ágata,5.0,8.0,8.3,8.0,5.0,7.29,7.33,7.26,2020-01-01
pm-190,17,7,B,1,Topázio,10.0,7.67,9.2,8.33,6.88,9.06,9.67,8.73,2020-01-01
pm-192,11,1,H,0,Quartzo,5.0,0.0,5.1,7.42,5.0,6.04,7.44,4.85,2020-01-01
pm-193,13,3,F,1,Topázio,10.0,7.0,9.8,10.0,5.0,8.12,9.33,8.54,2020-01-01
pm-194,17,6,A,0,Ágata,5.0,6.33,8.3,8.33,6.88,7.66,7.04,7.12,2020-01-01
pm-197,12,3,F,0,Topázio,10.0,8.67,9.6,8.33,7.5,8.96,8.5,8.83,2020-01-01
pm-198,16,6,A,0,Quartzo,10.0,4.5,6.1,0.0,5.62,5.78,6.29,5.52,2020-01-01
pm-199,14,3,C,0,Ágata,5.0,7.67,4.8,6.25,7.5,8.12,7.39,6.66,2020-01-01
pm-200,13,4,F,0,Ametista,10.0,5.67,5.8,7.92,7.5,8.12,8.54,7.36,2020-01-01
pm-201,14,3,L,0,Ametista,5.0,8.0,9.4,7.08,7.5,7.97,7.42,7.72,2020-01-01
pm-202,12,2,R,0,Quartzo,5.0,0.0,2.9,0.0,6.88,6.46,6.83,3.78,2020-01-01
pm-206,16,6,B,0,Quartzo,10.0,2.0,4.3,0.0,7.5,7.81,7.12,5.22,2020-01-01
pm-208,11,2,D,0,Ametista,10.0,5.0,9.4,9.0,7.5,8.12,7.5,7.84,2020-01-01
pm-209,9,0,H,1,Topázio,5.0,10.0,10.0,9.5,6.25,10.0,10.0,9.08,2020-01-01
pm-210,13,5,B,0,Ametista,10.0,5.67,9.1,10.0,7.5,8.54,8.28,8.21,2020-01-01
pm-212,8,0,H,0,Ágata,10.0,7.0,10.0,7.42,4.38,2.5,2.58,6.35,2020-01-01
pm-213,12,2,P,0,Ametista,5.0,9.0,9.7,9.0,5.0,8.75,7.83,8.08,2020-01-01
pm-215,9,1,A,0,Topázio,10.0,10.0,9.3,9.5,7.5,7.81,7.67,8.87,2020-01-01
pm-217,9,1,B,1,Topázio,10.0,9.5,9.4,8.0,7.5,8.12,9.0,8.94,2020-01-01
pm-219,11,2,M,0,Ametista,10.0,5.0,7.9,9.5,8.75,8.44,7.92,7.83,2020-01-01
pm-222,8,1,F,0,Topázio,10.0,9.5,7.8,9.0,7.5,7.19,8.25,8.48,2020-01-01
pm-223,10,1,E,0,Ágata,5.0,5.0,5.2,9.0,6.88,8.54,8.06,6.59,2020-01-01
pm-225,14,4,B,0,Topázio,10.0,8.33,9.7,9.58,7.5,8.75,8.28,8.85,2020-01-01
pm-226,11,2,G,0,Ametista,10.0,7.5,7.4,8.5,5.62,8.12,8.22,7.85,2020-01-01
pm-227,15,3,L,0,Quartzo,5.0,6.33,3.0,8.75,7.5,7.81,6.04,5.98,2020-01-01
pm-229,10,1,H,0,Quartzo,5.0,0.0,7.8,7.33,7.5,7.92,7.78,5.89,2020-01-01
pm-230,14,3,G,0,Quartzo,5.0,2.33,6.1,8.75,4.38,5.83,4.61,5.0,2020-01-01
pm-231,16,6,C,0,Quartzo,10.0,4.33,3.7,8.33,5.0,7.03,6.58,5.96,2020-01-01
pm-235,12,3,B,0,Ametista,10.0,7.67,9.0,8.33,7.5,7.5,7.29,8.13,2020-01-01
pm-238,13,2,H,0,Ágata,5.0,4.0,8.4,9.0,5.0,5.62,7.75,6.49,2020-01-01
pm-241,11,1,G,0,Ametista,5.0,9.5,8.8,9.0,6.25,2.5,6.75,7.29,2020-01-01
pm-242,11,1,G,0,Ágata,5.0,5.5,7.4,9.0,6.25,7.19,6.92,6.71,2020-01-01
pm-246,10,1,J,0,Ametista,5.0,8.0,8.3,9.5,6.88,7.08,7.67,7.64,2020-01-01
pm-251,9,1,N,0,Topázio,10.0,10.0,8.9,8.5,7.5,7.29,7.33,8.58,2020-01-01
pm-259,17,7,B,1,Topázio,10.0,7.67,9.1,9.17,7.5,8.75,9.29,8.75,2020-01-01
pm-261,16,3,A,0,Ágata,2.5,6.33,8.8,9.17,7.5,7.5,7.79,7.25,2020-01-01
pm-262,15,5,F,1,Ametista,10.0,6.67,9.2,7.92,5.0,9.06,9.25,8.22,2020-01-01
pm-263,15,5,B,0,Ametista,10.0,6.33,9.5,9.58,6.88,8.96,8.39,8.39,2020-01-01
pm-265,15,4,A,0,Ametista,5.0,6.0,10.0,8.75,6.88,8.12,7.78,7.63,2020-01-01
pm-266,9,1,B,0,Ametista,10.0,8.5,8.9,8.5,5.62,8.44,8.0,8.34,2020-01-01
pm-267,14,3,J,1,Ametista,5.0,8.0,9.7,9.17,5.62,8.96,9.78,8.37,2020-01-01
pm-269,11,1,J,0,Ágata,5.0,5.75,8.6,7.5,7.5,7.29,7.5,7.1,2020-01-01
pm-270,11,3,C,0,Ágata,10.0,8.67,4.2,6.67,4.38,8.12,8.5,7.19,2020-01-01
pm-273,14,1,R,0,Quartzo,2.5,0.0,4.4,9.0,7.5,7.29,4.39,4.39,2020-01-01
pm-274,16,5,A,0,Ágata,5.0,3.67,5.6,7.92,7.5,7.29,7.44,6.11,2020-01-01
pm-275,13,3,M,0,Ágata,10.0,4.33,5.2,10.0,7.5,6.09,5.67,6.4,2020-01-01
pm-277,12,1,E,0,Ametista,5.0,10.0,8.4,9.5,5.62,7.71,7.78,8.02,2020-01-01
pm-278,17,5,L,0,Ametista,5.0,7.33,9.6,8.75,9.38,8.75,8.33,8.24,2020-01-01
pm-280,10,1,F,0,Ágata,5.0,6.5,6.2,8.5,5.0,6.56,8.0,6.65,2020-01-01
pm-284,14,3,A,0,Ametista,5.0,7.67,9.9,7.92,7.5,7.97,7.75,7.9,2020-01-01
pm-285,11,2,D,0,Quartzo,10.0,1.0,0.0,9.5,7.5,8.12,7.0,5.11,2020-01-01
pm-286,12,1,G,0,Ágata,5.0,7.5,6.0,8.0,6.88,7.19,7.75,6.96,2020-01-01
pm-287,11,2,H,1,Ametista,10.0,7.5,8.5,7.42,7.5,8.44,8.83,8.3,2020-01-01
pm-288,12,2,C,0,Ágata,5.0,3.75,7.7,9.0,7.5,8.33,7.83,6.84,2020-01-01
pm-292,15,4,B,1,Topázio,5.0,7.67,9.9,10.0,6.88,8.96,9.44,8.49,2020-01-01
pm-293,14,5,F,0,Quartzo,10.0,0.0,1.3,6.67,4.38,7.19,6.67,4.42,2020-01-01
pm-295,9,1,D,0,Ametista,10.0,7.25,8.9,9.0,4.38,4.69,7.75,7.59,2020-01-01
pm-296,10,2,B,0,Ametista,10.0,5.0,8.9,9.0,7.5,7.5,7.67,7.71,2020-01-01
pm-297,15,3,J,0,Ágata,5.0,6.0,8.7,8.33,4.38,8.12,8.39,7.2,2020-01-01
pm-298,11,1,G,0,Ágata,5.0,6.5,6.6,8.5,5.0,5.0,6.83,6.34,2020-01-01
pm-301,9,1,J,0,Topázio,10.0,9.5,9.2,10.0,7.5,7.92,7.83,8.85,2020-01-01
pm-305,13,2,J,0,Ametista,5.0,6.5,8.3,8.5,7.5,6.46,8.28,7.36,2020-01-01
pm-306,17,7,B,0,Quartzo,10.0,0.0,1.4,6.67,4.38,5.16,4.96,3.89,2020-01-01
pm-309,9,1,G,0,Ametista,10.0,10.0,6.5,8.5,7.5,7.5,7.75,8.2,2020-01-01
pm-312,11,2,J,0,Topázio,10.0,8.5,9.1,10.0,7.5,5.83,8.28,8.51,2020-01-01
pm-313,8,0,F,0,Ametista,10.0,6.5,10.0,7.5,7.5,7.5,6.75,7.9,2020-01-01
pm-315,13,4,A,1,Topázio,10.0,8.67,10.0,9.17,9.38,8.96,9.89,9.46,2020-01-01
pm-316,11,2,M,0,Ágata,10.0,0.0,7.7,7.42,7.5,8.12,7.92,6.43,2020-01-01
pm-318,9,0,B,0,Ametista,5.0,10.0,10.0,9.0,7.5,7.5,7.0,8.3,2020-01-01
pm-319,11,2,B,0,Ágata,10.0,2.0,9.5,9.0,7.5,7.5,7.42,7.18,2020-01-01
pm-321,16,6,A,0,Quartzo,10.0,2.0,2.0,4.58,7.5,6.41,6.33,4.92,2020-01-01
pm-323,11,1,B,0,Quartzo,5.0,4.5,9.1,8.0,5.0,2.5,6.42,6.05,2020-01-01
pm-324,16,6,A,0,Ametista,10.0,6.67,7.9,8.75,7.5,8.59,8.33,8.06,2020-01-01
pm-328,14,3,M,0,Ágata,5.0,9.0,4.1,7.5,7.5,7.97,7.21,6.86,2020-01-01
pm-329,17,7,B,0,Ametista,10.0,7.0,8.6,7.92,7.5,7.97,7.62,7.98,2020-01-01
pm-330,10,1,F,0,Ametista,5.0,8.5,7.9,8.0,7.5,7.5,8.0,7.68,2020-01-01
pm-332,12,1,H,0,Ametista,5.0,10.0,9.2,9.5,7.5,7.29,7.44,8.26,2020-01-01
pm-335,8,0,B,0,Ametista,10.0,9.5,10.0,8.5,4.38,2.5,5.17,7.47,2020-01-01
pm-337,14,5,B,1,Topázio,10.0,7.0,9.9,8.33,10.0,9.17,9.11,8.95,2020-01-01
pm-338,17,7,A,0,Quartzo,10.0,4.33,2.1,8.33,7.5,7.34,6.54,5.91,2020-01-01
pm-339,14,3,C,0,Ametista,5.0,7.33,9.7,9.17,7.5,8.75,8.44,8.14,2020-01-01
pm-340,14,3,C,0,Ametista,5.0,7.0,9.4,8.33,7.5,8.54,6.89,7.6,2020-01-01
pm-342,11,2,B,0,Ametista,10.0,8.0,9.2,9.0,5.62,5.31,8.5,8.13,2020-01-01
pm-343,16,3,J,1,Ametista,2.5,8.0,8.1,7.5,7.5,8.12,9.0,7.58,2020-01-01
pm-344,16,6,A,0,Quartzo,10.0,0.0,3.8,0.0,5.0,6.72,7.08,4.35,2020-01-01
pm-345,8,0,F,0,Topázio,10.0,10.0,10.0,8.5,7.5,7.5,5.75,8.5,2020-01-01
pm-346,8,1,A,0,Ametista,10.0,9.5,8.0,9.0,7.5,7.19,7.75,8.42,2020-01-01
pm-348,9,0,D,0,Ametista,5.0,9.5,10.0,9.5,6.25,2.5,7.83,7.79,2020-01-01
pm-349,10,0,C,1,Topázio,5.0,10.0,10.0,9.5,7.5,10.0,10.0,9.2,2020-01-01
pm-353,12,2,G,0,Ágata,5.0,6.0,8.3,10.0,6.25,7.92,6.94,7.17,2020-01-01
pm-354,15,4,F,0,Quartzo,5.0,0.0,3.4,9.17,4.38,7.97,6.62,4.66,2020-01-01
pm-355,11,1,N,0,Ágata,5.0,4.0,8.1,7.5,5.0,7.71,7.33,6.41,2020-01-01
pm-359,10,2,F,0,Ametista,10.0,7.0,9.3,8.5,7.5,7.71,7.72,8.18,2020-01-01
pm-361,9,1,F,0,Quartzo,10.0,0.0,4.3,9.0,5.62,8.12,7.67,5.67,2020-01-01
pm-364,9,1,B,0,Ametista,10.0,7.5,9.9,9.0,4.38,5.62,7.17,7.81,2020-01-01
pm-365,15,5,G,1,Ametista,10.0,6.67,9.6,9.58,5.0,8.59,9.13,8.4,2020-01-01
pm-367,13,3,F,0,Ametista,10.0,6.67,9.4,9.17,7.5,8.12,8.17,8.33,2020-01-01
pm-370,13,3,G,1,Topázio,10.0,6.5,9.9,8.75,7.5,8.75,9.17,8.61,2020-01-01
pm-371,17,7,B,0,Ametista,10.0,7.33,7.8,7.92,5.0,5.78,7.42,7.38,2020-01-01
pm-372,12,2,E,0,Ágata,5.0,6.0,8.0,9.0,5.0,7.5,6.83,6.82,2020-01-01
pm-373,14,3,M,0,Ágata,5.0,5.67,5.0,8.75,5.62,8.12,6.67,6.22,2020-01-01
pm-375,10,2,B,1,Topázio,10.0,9.5,9.5,9.0,7.5,9.69,9.58,9.34,2020-01-01
pm-377,11,3,G,0,Ametista,10.0,6.0,6.7,9.58,4.38,8.54,8.11,7.41,2020-01-01
pm-378,15,5,G,0,Ametista,10.0,7.0,9.7,7.92,3.75,8.12,8.25,7.97,2020-01-01
pm-379,14,3,H,0,Quartzo,5.0,4.17,6.6,10.0,5.0,5.62,4.83,5.68,2020-01-01
pm-381,9,0,D,0,Ágata,5.0,8.5,9.8,9.5,2.5,2.5,4.17,6.44,2020-01-01
pm-383,10,0,E,0,Ametista,5.0,7.5,10.0,9.5,6.88,7.81,7.5,7.92,2020-01-01
pm-385,14,3,R,0,Ametista,5.0,6.0,8.6,8.75,7.5,7.71,7.61,7.34,2020-01-01
pm-387,13,2,R,0,Ágata,5.0,6.0,5.6,9.0,4.38,6.88,7.22,6.29,2020-01-01
pm-388,12,2,C,0,Ágata,5.0,5.5,8.8,8.0,7.5,6.88,7.22,7.04,2020-01-01
pm-389,16,5,A,1,Ametista,5.0,9.33,9.0,8.33,7.5,8.54,9.0,8.4,2020-01-01
pm-390,15,5,A,0,Ametista,10.0,7.67,5.3,8.33,7.5,7.71,7.39,7.43,2020-01-01
pm-393,11,2,F,0,Ágata,10.0,4.25,7.5,9.0,6.88,7.08,7.83,7.21,2020-01-01
pm-394,15,4,F,0,Quartzo,5.0,6.33,5.3,7.5,5.0,6.25,6.17,5.93,2020-01-01
pm-396,15,4,A,0,Ametista,5.0,8.0,9.1,7.5,7.5,8.12,6.11,7.45,2020-01-01
pm-397,12,3,B,0,Ametista,10.0,6.67,9.5,9.17,4.38,7.5,6.75,7.69,2020-01-01
pm-399,12,2,P,0,Quartzo,5.0,0.0,4.6,0.0,6.88,7.71,6.78,4.23,2020-01-01
pm-400,10,1,C,0,Quartzo,5.0,0.0,4.3,9.0,3.75,7.29,7.5,4.86,2020-01-01
pm-401,13,3,L,0,Ametista,10.0,6.17,9.9,9.58,7.5,7.97,8.46,8.41,2020-01-01
pm-404,13,3,L,0,Ametista,10.0,6.67,9.9,10.0,4.38,8.59,8.54,8.32,2020-01-01
pm-406,10,1,D,0,Ametista,5.0,9.5,8.8,9.0,7.5,7.19,7.25,7.98,2020-01-01
pm-407,13,3,L,1,Ametista,10.0,7.67,9.9,5.83,5.0,8.59,9.17,8.29,2020-01-01
pm-408,8,0,C,0,Topázio,10.0,10.0,10.0,9.0,10.0,7.5,8.33,9.32,2020-01-01
pm-414,14,2,P,0,Quartzo,5.0,0.0,8.0,6.92,7.5,8.54,6.89,5.77,2020-01-01
pm-416,13,2,G,0,Ametista,5.0,7.0,9.7,9.0,6.25,7.71,8.22,7.78,2020-01-01
pm-421,15,3,A,0,Ágata,5.0,7.67,5.9,9.58,7.5,7.66,7.25,7.14,2020-01-01
pm-424,12,1,G,0,Ametista,5.0,9.0,8.8,9.0,7.5,7.19,7.42,7.91,2020-01-01
pm-425,13,3,H,0,Ágata,10.0,7.33,6.2,8.75,7.5,6.67,5.67,7.13,2020-01-01
pm-426,10,1,K,0,Ágata,5.0,5.0,6.5,8.0,7.5,7.29,7.83,6.65,2020-01-01
pm-431,9,0,F,0,Ágata,5.0,8.5,9.8,9.5,6.88,2.5,3.83,6.81,2020-01-01
pm-435,16,4,B,0,Ametista,5.0,5.33,8.8,7.5,7.5,8.75,8.06,7.31,2020-01-01
pm-437,9,1,C,0,Ametista,10.0,5.5,8.5,10.0,7.5,7.92,7.33,7.81,2020-01-01
pm-439,15,4,L,0,Quartzo,5.0,0.0,3.6,9.58,7.5,7.92,6.06,4.93,2020-01-01
pm-441,11,2,J,0,Ametista,10.0,8.5,7.4,9.5,6.25,5.0,6.72,7.6,2020-01-01
pm-442,9,0,F,0,Ametista,5.0,9.5,10.0,8.5,7.5,7.5,7.33,8.22,2020-01-01
pm-443,12,2,P,0,Ametista,5.0,6.0,9.7,8.5,7.5,8.75,7.78,7.67,2020-01-01
pm-445,11,1,M,0,Ágata,5.0,4.75,6.3,9.0,7.5,7.19,7.92,6.66,2020-01-01
pm-447,10,0,G,0,Ágata,5.0,9.5,10.0,8.5,5.0,2.5,5.0,7.0,2020-01-01
pm-448,11,2,R,0,Ametista,10.0,1.5,8.9,9.5,9.38,8.54,8.44,7.51,2020-01-01
pm-449,9,1,N,0,Topázio,10.0,10.0,9.2,9.5,7.5,7.5,7.28,8.75,2020-01-01
pm-450,15,4,E,0,Ágata,5.0,6.67,6.4,7.92,7.5,8.44,7.29,6.96,2020-01-01
pm-451,9,1,E,0,Ametista,10.0,4.5,8.0,9.0,6.25,7.08,7.94,7.32,2020-01-01
pm-453,10,1,G,0,Quartzo,5.0,0.0,6.1,8.5,7.5,8.12,7.75,5.68,2020-01-01
pm-455,9,2,F,1,Topázio,10.0,7.0,9.3,9.5,7.5,7.71,9.28,8.59,2020-01-01
pm-457,7,1,J,0,Quartzo,10.0,0.0,7.1,8.0,5.62,5.62,7.83,5.91,2020-01-01
